Sr. No.,ProductTitle,Category,ProductSubCat,ProductWeight,based,Size 1,Size 2,Size 3,Size 4,Size 5,ProductWashability,ProductDurability,ProductShades,ProductCoverage,ProductFinish,ProductDryingTime,ProductDetails,One Liner,ProductFeature1,ProductFeature2,ProductFeature3,ProductFeature4,ProductFeature5,ProductFeature6,ProductPIS,ProductSurfacePreparation,ProductMixingthePaint,ProductApplyingthePaint,ProductCleanUp,ProductFinalTouches,ProductMaterials,ProductTips,Question 1,Question 2,Question 3,Question 4,Question 5,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Image,PIS,Product Page URL
1,TRACTOR EMULSION SHYNE,Interior,Economy,Liter,Water,1,4,10,20,,2 (Low Washable),2-4 Years,1000+,130-150 Sq.ft./Ltr,Matt (G-20),30 Minutes,"Asian Paints Tractor Emulsion Shyne provides a durable and smooth sheen finish to your walls. Tractor Emulsion Shyne offers anti-fade protection, which translates to long-lasting color, reduced maintenance, and best in class durability. Tractor Emulsion Shyne offers superior washability than distemper, making it easy to keep your walls looking the best. Tractor Emilsion Shyne comes with 4-year warranty on shade/color retention and film integrity.",Tractor Emulsion with a durable and smooth sheen finish to your walls.,Anti Fade,Superior Washability,,,,,,,,,,,,,Is Tractor Emulsion Shyne paint washable?,What is the expected coverage per liter of Tractor Emulsion Shyne?,How many coats are recommended for Tractor Emulsion Shyne?,How long will Tractor Emulsion Shyne last after application?,What is the dilution ratio for Tractor Emulsion Shyne?,Asian Paints Tractor Emulsion Shyne has superior washability compared to other distempers. This helps you to keep your walls clean and beautiful for years to come.,"Asian Paints Tractor Emulsion Shyne’s expected coverage per liter on a normal masonry surface after brushing for the first coat is 250- 270 sq.ft/Itr, and the second coat is 130- 150 sq.ft/lt. Actual coverage may vary from the quoted coverage due to factors such as the method and condition of application and surface roughness and porosity.",Two coats of Asian Paints Tractor Emulsion Shyne are recommended to give your walls the perfect touch.,"Asian Paints Tractor Emulsion Shyne lasts you for longer periods; the emulsion comes with a 4-year performance warranty, higher washability compared to other distempers, and comes with anti-fade technology.",The dilution ratio of Asian Paints Tractor Emulsion Shyne is 50% - 60%.,Yes,Yes,
2,Tractor Shyne Advanced,Interior,Economy,Liter,Water,1,4,10,20,,2 (Low Washable),2-4 Years,800+,145-165 Sq.ft./Ltr,Matt (G-20),30 Minutes,"Asian Paints Tractor Emulsion Shyne Advanced is an interior paint that comes with twin power and provides a durable and smooth sheen finish to your walls. Tractor Emulsion Shyne Advanced offers anti-fade protection, which translates to long-lasting color, reduced maintenance, and best in class durability. Tractor Emulsion Shyne Advanced offers superior washability than distemper, making it easy to keep your walls looking the best. Tractor Emulsion Shyne Advanced comes with 4-year warranty on shade/color retention and film integrity.","Tractor Emulsion Shyne Advanced offers anti-fade protection, long-lasting color, reduced maintenance, and best in class durability",Anti Fade,Superior Hiding,,,,,,,,,,,,,What is Tractor Emulsion Shyne Advanced?,What is the coverage for Tractor Emulsion Shyne Advanced?,What are the areas of application for Tractor Emulsion Shyne Advanced?,What is the shelf-life of Tractor Emulsion Shyne Advanced?,,"Asian Paints Tractor Emulsion Shyne Advanced is a water-based interior paint for your walls. It has advanced features such as Anti-fade protection, Superior washability compared to other distempers and a 4-year performance warranty.",Tractor Emulsion Shyne Advanced has superior coverage and provides coverage of 275 to 300 sq.ft/ltr for 1 coat and 145 to 165 sq.ft/ltr for 2 coats on a normal masonry surface after brushing. Please note the actual coverage may differ.,"You can apply Asian Paints Tractor Emulsion Shyne Advanced on interior surfaces, and it can be used to create the perfect rooms and spaces in your home.",The shelf life of Asian Paints Tractor Emulsion Shyne Advanced is 4 years from the date of manufacture in original tightly closed containers away from direct sunlight and excessive heat.,,Yes,Yes,
3,Tractor Emulsion Advanced,Interior,Economy,Liter,Water,1,4,10,15,20,2 (Low Washable),2-4 Years,2000+,145-165 Sq.ft./Ltr,Matt (G-20),30 Minutes,"Asian Paints Tractor Emulsion Advanced is an interior paint that comes with twin power and provides a smooth and durable finish to your walls. Tractor Emulsion Advanced offers anti-fade protection, which translates to long-lasting color, reduced maintenance, and best in class durability. Tractor Emulsion Advanced offers superior washability than distemper, making it easy to keep your walls looking the best. Tractor Emulsion Advanced comes with a 4-Years warranty on shade/color retension and film integrity. ","Tractor Emulsion Advanced offers anti-fade protection, long-lasting color, reduced maintenance, and best in class durability",Anti Fade,Superior Washability,,,,,,,,,,,,,Is Tractor Emulsion Advanced paint washable?,What is the expected coverage per litre of Tractor Emulsion Advanced?,How many coats are recommended for Tractor Emulsion Advanced?,How long will Tractor Emulsion Advanced last after application?,What is the dilution ratio for Tractor Emulsion Advanced?,"Asian Paints Tractor Emulsion Advanced comes with superior washability, making it easy for you to maintain walls effortlessly.","On a normal masonry surface after brushing, Asian Paints Tractor Emulsion Advanced provides a coverage of 275 - 300 sq.ft/ltr for one coat and 145- 165 sq.ft/Itr for two coats.",Two coats of Asian Paints Tractor Emulsion Advanced is recommended to get the desired results.,"Asian Paints Tractor Emulsion Advanced is durable and will last for years to come. The emulsion itself comes with a performance warranty of 4 years, anti-fade technology, and more, which helps you maintain it with ease.",Asian Paints Tractor Emulsion Advanced has a dilution ratio of 50% - 60%.,Yes,Yes,
4,Tractor Emulsion,Interior,Economy,Liter,Water,1,4,10,20,,2 (Low Washable),2-4 Years,2000+,130-150Sq.ft./Ltr,Matt (G-20),30 Minutes,"Asian Paints Tractor Emulsion is an Interior paint that gives smooth and durable finish to your walls. Tractor Emulsion offers anti-fade protection, which translates to long-lasting color, reduced maintenance, and best in class durability. Tractor Emulsion offers superior washability than distemper, making it easy to keep your walls looking the best. Tractor Emulsion comes with 4-year Warranty in shade/color retention and film integrity.","Tractor Emulsion offers anti-fade protection, long-lasting color, reduced maintenance, and best in class durability",Anti Fade,Superior Washability,,,,,,,,,,,,,Is Tractor Emulsion paint washable?,What is the expected coverage per litre of Tractor Emulsion?,How many coats are recommended for Tractor Emulsion?,How long will Tractor Emulsion last after application?,What is the dilution ratio for Tractor Emulsion?,"Asian Paints Tractor Emulsion has superior washability to distemper, which makes it easy to keep your walls clean.","Asian Paints Tractor Emulsion has the expected coverage for one coat of 250- 270 sq.ft/Itr, and the second coat is 130 - 150 sq.ft/ltr on a normal masonry surface after brushing. The actual coverage may vary from the expected coverage due to factors such as method and condition of application and surface roughness and porosity.","To achieve the desired paint results, it’s recommended that you apply two coats of Asian Paints Tractor Emulsion.",Asian Paints Tractor Emulsion is durable and will last you for a long period with proper maintenance.,Asian Paints Tractor Emulsion has a dilution ratio of 50% - 60%,Yes,Yes,
5,Tractor Ultraa,Interior,Economy,Liter,Water,1,4,10,20,,2 (Low Washable),2-4 Years,2000+,130-150Sq.ft./Ltr,Matt (G-20),30 Minutes,,,Anti Fade,Superior Washability,,,,,,,,,,,,,,,,,,,,,,,Yes,Not Found,
6,Tractor Sparc Ultra,Interior,Economy,Liter,Water,1,4,10,20,,2 (Low Washable),2-4 Years,1000+,120-140 Sq.ft./Ltr,Matt (G-20),30 Minutes,"Asian paints Tractor Sparc Ultraa economy emulsion is an interior paint that gives smooth finish and is a perfect buy over distemper. Tractor Tractor Sparc Sparc Oitra Ultraa offers 1.5 times coverage than 1.3 times cover distempers, hence requiring lesser material, making it smart choice for any painting project.",Tractor Sparc Ultraa economy emulsion gives smooth finish and a perfect buy over distemper.,1.5X Coverage than distemper,Superior Whiteness,Smooth Finish,,,,,,,,,,,, Is Tractor Sparc Ultraa paint washable?,What is the expected coverage per liter of Tractor Sparc Ultraa?,How many coats are recommended for Tractor Sparc Ultraa?,How long will Tractor Sparc Ultraa last after application?,What is the dilution ratio for Tractor Sparc Ultraa?,Asian Paints Tractor Sparc Ultraa has low washability features.,"Asian Paints Tractor Sparc Ultraa is expected to cover 240- 260 sq.ft/Itr for the first coat and 120 - 140 sq.ft/Itr for the second coat when applied to a normal masonry surface after brushing. However, the actual coverage can be different from the expected coverage.","You must apply two coats of Asian Paints Tractor Sparc Ultraa with a brush, roller, or spray.","The Asian Paints Tractor Sparc Ultraa is durable and can last years. It has a 2-year performance warranty, which gives you assurance of the product's quality.",The dilution ratio of Asian Paints Tractor Sparc Ultraa is 50% - 60%.,Yes,Yes,
7,Tractor Sparc,Interior,Economy,Liter,Water,1,4,10,14,20,2 (Low Washable),2-4 Years,1000+,120-140 Sq.ft./Ltr,Matt (G-20),30 Minutes,"Asian paints Tractor Sparc economy emulsion is an interior paint that gives smooth finish and is a perfect buy over distemper. Tracto Tractor Sparc ultraa offers 1.5 times coverage than distempers, hence requiring lesser material, making it smart choice for any painting project. Tractor Sparc comes with superior hiding than any other paints in the category.",Tractor Sparc economy emulsion gives smooth finish and 1.5times coverage than distemper,1.5X Coverage than distemper,Superior Hiding,Smooth Finish,,,,,,,,,,,, Is Tractor Sparc paint washable?,What is the expected coverage per liter of Tractor Sparc?,How many coats are recommended for Tractor Sparc?,How long will Tractor Sparc last after application?,What is the dilution ratio for Tractor Sparc?,The Asian Paints Tractor Sparc doesn’t come with washability features.,"The expected coverage per litre for Asian Paints Tractor Sparc on a normal masonry surface after brushing for one coat is 240-260 sq.ft/ltr, and for two coats, 120 - 140 sq.ft/ltr. This expected coverage per litre can vary from the actual coverage",It is recommended that two coats of Asian Paints Tractor Sparc be used to create the perfect interior walls.,The Asian Paints Tractor Sparc will last you years. Its 2-year performance warranty assures you of its quality.,"The dilution ratio of Asian Paints Tractor Sparc is 50% - 60% with a brush, roller or spray.",Yes,Yes,
8,Tractor Sparc Shyne,Interior,Economy,Liter,Water,1,4,10,20,,2 (Low Washable),2-4 Years,1000+,130-150 Sq.ft/Ltr,Matt (G-20),30 Minutes,"Tractor Emulsion Shyne offers anti-fade protection which translates to long-lasting color, reduced maintenance
and best in class durabilityTractor Emulsion Shyne offers superior washability than s supenor wasnabllity than distemper, making it easy to keep your walls looking the best. Tractor Emulsion Shyne comes with 4 years warranty* on shade/colour retention and film integrity.",,Anti Fade,Superior Washability,Smooth Finish,,,,,,,,,,,, Is Tractor Sparc Shyne paint washable?,What is the expected coverage per liter of Tractor Sparc Shyne?,How many coats are recommended for Tractor Sparc Shyne?,How long will Tractor Sparc Shyne last after application?,What is the dilution ratio for Tractor Sparc Shyne?,Asian Paints Tractor Sparc Shyne has low washability features.,"Asian Paints Tractor Sparc Shyne is expected to cover 240- 260 sq.ft/Itr for the first coat and 120 - 140 sq.ft/Itr for the second coat when applied to a normal masonry surface after brushing. However, the actual coverage can be different from the expected coverage.","You must apply two coats of Asian Paints Tractor Sparc Shyne with a brush, roller, or spray.","The Asian Paints Tractor Sparc Shyne is durable and can last years. It has a 2-year performance warranty, which gives you assurance of the product's quality.",The dilution ratio of Asian Paints Tractor Sparc Shyne is 50% - 60%.,Yes,Not Found,
9,Neo Bharat Latex Interior Paint,Interior,Economy,Kg,Water,2,5,10,20,,2 (Low Washable),2-4 Years,1000+,90-110 Sq.ft./Kg,Highly Matt,30 Minutes,"NeoBharat Latex Paint is a best-in-class economy interior paint. NeoBharat Latex paint is backed by The Latex Technology. The Latex technology is a special polymer technology that gives better film formation than distempers and local paints available in market. NeoBharat Latex Paint offers smooth Latex finish at a price of Distempers. Higher washability allows NeoBharat to last longer compared to Distemper. The latex technology makes it easier for painters to apply, provides better flow levelling and hence providing smooth finish.",,Latex Interior Paint,Higher Coverage,Smooth Finish,,,,,,,,,,,,Is NeoBharat Latex Interior Paint washable?,What is the expected coverage per kg of NeoBharat Latex Interior Paint?,How many coats are recommended for NeoBharat Latex Interior Paint?,How long will NeoBharat Latex Interior Paint last after application?,What is the dilution ratio for NeoBharat Latex Interior Paint?,"Asian Paints NeoBharat Latex Interior Paint uses latex technology, which helps the paint be highly washable and last longer than distemper.","The expected coverage for Asian Paints NeoBharat Latex Interior Paint on a normal masonry surface after using a Brushing + Rolling (Foam Roller) for 2 coats is 90 - 110 sq.ft/kg. However, the expected coverage may differ from the actual coverage due to various factors.",Two coats of the Asian Paints NeoBharat Latex Interior Paint is recommended with the help of a brush.,"The Asian Paints NeoBharat Latex Interior Paint will last a long time, as it uses latex technology, is highly washable, and lasts longer than Distemper.",The dilution ratio for Asian Paints NeoBharat Latex Interior Paint is 30-35 when applied with a brush or a roller.,Yes,Yes,
10,Tractor Aqualock,Interior,Economy,Kg,Water,1,2,5,10,20,2 (Low Washable),2-4 Years,1200+,85-115 Sq.ft./Kg,Highly Matt,30 Minutes,"Tractor Aqualock is an water-based, interior wall paint. It is an acrylic paint that provides twice the water resistance as compared to ordinary distempers. It also gives the walls a beautiful matt finish that lasts for a long time. Asian Paints Tractor Aqualock gives a smooth finish that is better than distemper products. It is a specially developed formulation designed to provide superior water resistance property and long lasting finish.",,Water Resistant,Smooth Finish,,,,,,,,,,,,,Is Tractor Aqualock paint washable?,What is the expected coverage per kg of Tractor Aqualock?,How many coats are recommended for Tractor Aqualock?,How long will Tractor Aqualock last after application?,What is the dilution ratio for Tractor Aqualock?,Asian Paints Tractor Aqualock has medium washability.,"On a smooth primed masonry surface, the expected coverage per kg for Asian Paints Tractor Aqualock in one coat is 190 - 210 sq.ft/kg; in two coats, it is 85 - 115 sq.ft/kg. However, the actual coverage may differ from the expected coverage due to various factors.",2 coats of Asian Paints Tractor Aqualock is recommended to get the right results.,"Asian Paints Tractor Aqualock, when applied with the right preparation and technique, ensures long-lasting durability and beautifully finished walls.","The dilution ratio for Asian Paints Tractor Aqualock for brush application is 60 - 65, and for spray application is 60 - 65.",Yes,Yes,
